feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target_growth
30.81,57.409,39.756,5.448,10.381,1.959,0.423,124.498
32.978,84.59,50.057,7.417,7.765,0.615,0.921,155.228
22.728,66.347,41.483,5.649,9.107,1.853,3.309,129.924
21.435,60.361,73.487,5.234,6.38,2.202,2.477,153.935
21.158,54.725,48.737,7.249,4.463,0.873,1.946,123.013
26.874,66.823,43.608,6.824,5.32,1.444,1.036,132.677
25.963,77.25,58.658,6.183,11.784,1.702,4.265,162.828
22.41,57.901,57.527,7.078,8.989,1.392,0.941,134.751
18.768,79.097,25.122,7.734,10.649,2.502,1.341,123.31
26.185,73.34,55.924,5.103,4.172,0.805,1.594,140.808
34.309,80.44,37.188,6.883,10.124,2.252,0.796,147.025
29.093,56.291,43.762,5.655,7.88,2.267,2.506,122.086
26.424,73.396,60.317,6.422,9.322,1.475,1.668,151.562
19.882,51.918,52.869,6.272,6.866,1.695,2.814,124.509
22.291,61.371,43.433,6.17,8.967,0.769,1.782,124.187
23.011,77.596,33.371,5.571,4.285,0.868,0.701,119.082
31.002,73.425,50.274,7.408,4.365,1.676,3.952,146.211
32.904,53.454,40.968,6.139,10.391,0.939,2.392,124.952
33.328,83.625,70.646,7.662,4.996,2.336,1.584,175.59
34.738,47.401,51.717,6.064,4.112,1.879,0.27,127.442
34.7,71.785,68.298,7.519,11.3,0.536,2.771,161.44
34.201,89.272,44.509,6.633,6.124,1.259,3.565,155.538
19.221,68.918,66.372,6.157,8.659,2.46,2.995,151.104
20.342,81.03,27.827,7.112,10.711,1.066,3.587,129.077
23.176,71.783,39.906,7.36,9.967,2.127,0.866,130.065
27.399,80.239,28.909,6.448,4.373,0.625,4.378,127.754
19.649,74.502,26.583,6.276,8.488,2.633,1.109,118.695
32.379,76.101,70.943,6.732,8.334,1.478,1.347,165.159
28.485,55.252,60.843,6.755,6.801,1.58,2.403,136.867
27.22,78.382,56.256,6.276,10.029,1.768,0.222,151.712
20.81,55.706,51.625,7.273,11.712,1.272,2.103,126.687
22.305,89.129,53.478,6.199,5.177,2.141,1.042,152.142
20.725,55.25,56.935,6.359,5.162,0.435,3.421,130.386
32.483,55.651,66.329,6.816,9.878,0.789,3.458,148.634
27.932,83.64,54.844,7.961,7.635,0.853,2.848,153.746
30.497,55.934,62.429,5.782,10.362,1.925,2.013,145.191
23.033,61.241,39.049,5.696,5.129,2.537,1.534,120.031
24.311,77.159,73.838,5.531,4.319,0.553,3.758,159.717
24.883,52.144,26.595,7.068,9.583,2.446,2.381,112.237
30.92,52.158,44.329,6.347,11.958,2.367,2.335,133.354
31.13,66.886,69.102,6.166,4.758,0.584,0.688,155.56
21.516,55.966,34.026,5.612,10.915,0.744,1.139,113.397
34.006,55.605,32.067,7.673,7.082,1.24,1.75,118.565
20.051,45.416,43.272,6.33,4.134,0.675,3.205,104.421
33.234,61.67,46.41,6.823,8.08,2.22,3.835,144.989
19.707,59.321,71.67,5.338,6.231,1.61,4.469,145.851
22.497,46.402,66.806,5.324,9.547,1.386,2.038,134.659
32.39,72.955,48.204,5.202,6.303,2.14,2.149,146.059
21.051,73.199,73.649,6.102,7.854,1.103,3.494,157.623
25.031,48.186,57.114,6.419,5.605,2.492,1.581,129.155
25.648,59.267,68.683,5.734,10.625,1.97,2.524,149.121
22.169,84.276,37.303,6.049,11.403,1.232,3.111,142.465
30.074,71.198,49.448,5.019,7.227,1.696,1.216,140.378
32.473,63.539,26.486,6.053,7.591,1.023,1.402,118.071
32.868,65.93,25.444,5.358,11.861,2.764,1.732,123.524
23.768,54.373,60.273,5.385,5.137,1.445,2.684,131.907
27.024,81.535,30.915,5.014,10.469,2.552,1.363,138.799
22.223,86.13,52.39,7.089,8.538,2.747,1.095,150.049
22.162,85.98,59.8,7.794,11.046,1.686,0.843,154.43
20.741,55.077,26.612,6.865,6.339,2.152,3.68,108.108
33.98,58.983,47.437,5.289,6.369,1.773,4.01,135.991
33.096,52.228,59.208,7.969,6.607,0.62,4.09,145.677
31.215,58.824,69.487,7.927,4.133,2.686,3.733,155.888
26.8,59.976,39.962,6.405,5.359,1.496,0.79,118.525
26.34,73.49,73.711,5.324,11.957,2.546,0.62,163.885
27.006,53.534,67.227,7.162,5.992,1.973,2.346,140.706
27.122,86.373,57.532,7.884,4.159,0.652,2.442,152.068
25.388,49.639,44.596,7.336,6.228,1.401,3.351,120.788
20.24,45.31,60.556,6.873,7.267,0.87,1.158,125.579
20.136,83.473,65.81,6.832,8.382,0.808,4.203,158.395
34.188,76.67,40.165,7.934,4.549,2.116,1.533,140.782
26.195,60.991,74.642,5.219,10.323,0.472,2.685,148.503
34.204,71.797,70.431,5.449,10.604,2.719,3.916,168.649
20.781,55.059,49.275,7.492,5.705,1.48,2.451,124.442
27.425,52.578,61.141,5.435,10.387,1.575,3.44,137.645
21.531,66.202,51.2,6.15,6.891,1.119,3.421,137.107
22.304,60.893,63.047,5.844,7.385,0.605,3.597,138.635
18.511,72.685,66.349,5.73,11.491,1.812,3.688,153.476
20.022,54.817,26.161,5.077,11.135,1.227,1.888,105.185
33.586,74.832,28.957,6.699,7.001,1.898,1.763,129.751
23.466,79.509,41.823,6.204,7.905,1.734,3.655,140.62
28.338,52.499,70.881,6.655,6.292,0.921,2.693,143.37
25.905,46.974,44.914,5.914,8.123,1.508,2.813,118.11
24.808,64.781,69.376,7.824,9.455,1.139,1.971,146.202
27.042,79.831,48.122,6.774,4.741,0.975,1.067,144.844
21.183,74.285,39.443,7.884,11.359,2.247,2.165,135.114
34.806,76.585,70.032,6.05,9.751,0.429,4.369,173.539
31.911,63.128,53.034,5.007,4.774,1.045,1.451,139.247
30.607,55.573,43.024,7.344,10.952,1.675,1.37,133.747
25.969,68.93,27.22,7.482,9.949,1.543,0.762,120.431
20.599,54.196,30.547,5.176,6.505,2.656,2.269,104.658
33.651,77.68,31.966,6.876,8.171,2.425,1.441,140.601
23.804,53.863,43.242,6.983,10.881,2.204,3.155,126.585
18.852,58.107,55.367,5.437,11.745,1.634,0.781,129.748
23.821,67.795,40.38,6.658,6.249,1.429,1.263,128.065
31.506,66.902,28.276,5.73,9.204,0.488,0.466,123.495
28.586,72.038,38.24,5.049,10.882,2.372,0.378,136.904
30.764,64.685,45.434,7.601,11.905,1.434,3.701,140.112
31.492,86.376,74.613,6.475,4.566,1.17,4.095,177.078
21.603,82.797,44.649,7.345,8.029,1.856,3.485,143.173
33.704,84.56,29.46,7.169,10.989,2.21,3.92,149.404
25.446,73.328,54.056,7.981,4.025,1.655,0.572,143.255
28.863,73.575,70.982,6.314,7.498,0.759,4.062,164.048
18.039,72.414,64.335,6.283,8.674,2.612,2.204,147.772
34.887,64.57,66.811,5.845,8.212,0.671,3.505,159.513
22.775,59.495,71.412,6.875,9.862,2.727,2.848,154.002
19.055,71.64,56.827,6.458,4.524,1.462,1.704,138.145
25.79,46.149,74.746,7.186,10.283,2.672,1.339,146.599
20.194,45.336,26.664,6.07,6.265,2.595,0.708,98.712
20.59,83.324,66.742,5.393,10.594,1.375,1.974,157.804
28.749,47.089,67.851,7.587,7.356,2.32,2.325,145.88
24.68,68.616,70.835,7.484,4.343,0.615,4.427,148.838
33.671,72.674,48.908,6.053,11.711,0.599,0.36,147.796
23.426,53.918,64.388,7.071,10.244,1.254,2.738,139.551
30.345,85.308,34.754,6.477,6.783,1.863,2.457,140.53
25.839,53.554,55.157,7.283,6.16,0.422,0.298,128.465
29.219,84.803,42.932,6.17,8.712,1.636,1.618,144.805
28.195,79.335,54.809,6.607,11.898,2.742,2.019,162.868
26.037,55.833,58.778,5.173,6.321,2.46,2.325,132.955
34.151,51.783,42.353,5.525,11.586,0.958,1.204,126.897
23.826,59.23,35.812,7.345,6.643,1.667,0.347,114.042
21.013,62.908,41.084,6.145,9.633,0.811,1.464,123.413
29.528,56.06,58.198,5.105,7.054,1.032,3.796,141.944
32.382,89.95,58.844,5.503,4.68,2.615,3.674,167.716
18.684,55.334,62.066,6.235,11.49,2.795,0.977,139.952
25.644,82.379,31.327,7.154,5.311,0.982,2.979,129.462
33.172,52.16,65.926,6.09,11.558,0.909,4.172,152.672
30.744,89.111,59.407,7.236,4.826,1.321,0.94,160.383
34.861,55.149,26.525,7.574,6.136,1.47,0.753,116.722
27.034,63.976,41.78,6.023,11.367,0.614,0.295,132.339
29.22,70.135,48.336,7.401,9.268,0.755,0.941,136.704
23.142,50.413,43.031,5.381,5.516,1.42,3.7,121.769
34.108,81.757,30.871,6.246,8.737,0.965,3.7,141.292
24.228,57.361,35.367,5.293,5.443,2.428,2.524,112.485
30.555,69.717,26.228,5.158,10.996,2.204,1.634,125.425
24.853,69.734,29.654,5.194,4.399,1.687,3.669,120.633
27.551,72.119,38.315,5.314,8.238,1.438,1.039,129.957
30.236,47.497,65.999,7.507,4.508,2.394,0.801,132.935
26.652,52.588,51.332,6.631,9.56,0.798,0.584,128.448
33.42,52.254,46.225,7.842,11.486,2.53,3.861,136.663
25.128,58.592,58.108,6.614,10.649,0.518,3.274,141.622
29.0,51.521,52.076,6.886,6.974,2.616,2.886,130.399
23.82,86.486,31.576,5.553,5.895,0.733,3.328,138.218
24.939,68.083,36.131,6.622,4.968,2.349,0.817,124.924
25.481,73.061,36.126,6.156,10.989,0.443,1.855,131.713
20.139,61.087,54.998,7.794,4.649,2.356,3.701,134.672
19.559,57.431,48.081,7.802,9.031,1.802,4.142,123.604
29.347,67.643,44.379,5.595,6.938,0.446,2.406,132.896
29.144,58.245,52.832,6.86,11.966,2.258,0.725,144.568
29.269,60.464,73.506,6.915,8.071,0.644,4.408,155.834
18.336,65.374,40.71,6.688,8.39,1.696,1.899,122.701
23.551,67.758,51.01,5.373,11.343,1.197,1.572,137.105
21.363,89.294,49.019,6.962,11.757,2.222,0.716,155.265
31.229,55.05,60.832,7.397,8.669,2.448,0.254,142.642
32.631,66.959,61.515,6.036,10.369,1.514,2.796,152.47
22.194,51.728,61.454,6.544,9.078,2.219,2.833,142.114
29.353,60.75,35.076,5.349,7.419,2.6,1.207,120.421
20.199,77.279,47.455,7.792,4.459,2.054,0.897,134.545
22.678,52.851,65.559,5.329,9.742,1.173,2.47,136.072
20.357,71.161,44.077,5.625,9.602,1.512,2.072,130.054
22.82,63.752,74.213,5.895,4.934,0.952,1.506,144.851
29.471,47.321,43.239,7.477,5.841,1.5,1.138,117.985
33.476,86.988,49.883,7.102,9.857,0.99,3.895,164.19
21.443,63.612,48.726,5.021,5.198,2.337,4.43,125.89
27.215,80.277,46.683,5.551,9.527,1.864,1.729,149.602
29.924,63.734,67.282,7.25,9.744,1.92,3.202,159.421
34.2,87.181,32.764,6.212,6.827,0.665,3.922,146.406
28.371,58.071,53.383,5.079,6.065,0.404,0.316,130.624
22.337,63.55,55.93,7.892,6.984,2.294,4.105,140.772
28.633,79.149,67.561,5.454,6.874,1.702,2.346,165.203
23.448,60.465,55.46,6.531,8.856,2.636,2.594,133.865
34.594,61.396,73.001,5.745,9.951,1.689,2.521,163.872
24.794,89.767,68.608,7.212,10.894,0.915,1.245,166.956
29.652,70.003,42.437,7.33,4.24,2.076,3.564,138.744
18.395,76.022,67.995,6.192,9.812,2.082,3.349,153.779
24.801,73.956,72.924,6.975,6.513,0.557,0.612,157.697
32.877,82.257,37.86,7.727,10.709,2.065,2.62,145.633
28.374,83.782,55.51,7.444,4.606,0.91,4.315,150.994
25.547,70.347,39.09,6.245,8.409,1.011,3.946,132.295
33.911,58.255,57.478,6.324,8.389,0.475,2.891,148.061
32.518,46.026,29.682,7.661,6.612,1.906,1.054,112.946
23.478,72.648,61.709,5.103,11.762,2.156,1.693,153.203
27.257,82.146,45.991,5.068,4.855,0.953,0.847,142.654
26.327,65.274,54.365,5.617,5.091,2.302,3.734,139.169
28.747,52.412,26.293,7.483,9.154,2.229,3.548,116.874
23.68,57.964,59.772,5.46,8.114,1.383,4.115,137.297
22.151,67.95,49.8,5.856,6.116,0.564,0.473,128.882
33.515,82.651,56.263,6.887,6.434,1.072,4.348,160.762
33.706,52.729,40.783,5.553,5.256,0.797,4.356,124.478
32.336,72.547,32.291,5.909,10.942,2.701,3.1,138.138
34.629,78.902,46.771,6.401,8.556,2.363,3.992,154.418
30.665,87.122,72.199,5.684,5.959,0.588,2.085,168.464
30.999,50.252,36.39,7.977,7.147,1.632,1.548,119.042
30.964,86.688,58.792,5.49,11.253,1.041,0.864,163.8
26.17,72.066,27.492,7.55,11.095,0.477,0.336,120.796
25.76,79.502,60.905,6.41,4.553,1.174,0.381,150.608
22.084,47.42,36.922,5.387,9.233,0.706,3.174,109.394
28.962,67.777,47.576,5.355,5.224,0.935,1.647,135.101
22.918,73.018,43.388,6.501,5.687,1.184,0.432,127.938
22.383,58.808,30.642,6.061,10.914,1.381,0.682,116.593
27.961,64.424,42.279,5.704,11.162,1.524,3.061,137.444
24.97,69.943,42.506,7.877,4.662,1.648,4.236,130.704
21.721,69.865,51.105,6.39,10.991,1.288,1.954,140.33
31.873,46.884,73.618,7.786,9.828,1.596,3.544,155.664
32.63,64.777,48.501,5.492,10.206,1.403,4.386,142.41
20.851,54.622,70.721,5.55,10.335,2.715,3.246,143.408
18.128,86.251,48.078,6.788,8.058,0.562,3.309,144.743
23.714,88.946,30.377,5.81,11.575,1.806,2.848,136.204
31.558,58.484,36.508,5.555,5.603,0.865,4.404,123.034
32.266,52.883,45.376,5.284,8.04,1.301,1.489,125.687
20.352,54.878,41.268,5.229,6.548,1.712,3.567,118.965
31.164,66.499,68.291,7.26,10.579,2.224,1.985,158.672
19.967,84.353,58.932,5.846,4.662,2.747,0.868,147.955
24.631,67.502,53.915,7.935,7.469,1.585,3.379,140.1
34.976,47.493,49.561,5.549,10.188,1.017,3.766,137.309
21.274,46.795,44.864,6.063,6.499,2.3,3.913,114.657
20.617,55.233,55.61,6.125,5.924,0.932,4.164,125.078
25.188,82.925,31.23,6.5,6.1,1.619,3.403,129.484
28.534,72.967,33.127,7.612,9.709,2.432,2.469,136.419
33.859,70.333,40.156,7.504,6.294,1.369,4.236,142.49
34.674,59.354,33.559,5.03,7.221,1.737,1.101,127.883
19.184,86.824,58.855,6.228,8.365,0.687,0.532,146.787
20.346,59.903,26.238,7.484,11.526,0.534,2.056,110.53
31.443,82.572,33.009,5.001,10.355,2.767,2.704,149.742
22.601,85.316,70.13,6.601,5.482,0.829,3.124,160.902
33.042,66.75,74.877,5.778,11.065,1.205,3.706,166.146
29.279,85.243,49.38,6.238,10.758,1.611,0.315,153.5
19.901,57.456,49.769,6.261,9.962,1.299,3.649,129.824
32.153,74.63,63.67,6.175,8.135,0.634,2.781,160.37
20.998,48.958,26.809,7.676,4.559,0.873,4.298,99.738
25.199,66.327,46.351,6.609,9.692,1.584,1.696,133.499
27.387,54.78,29.991,7.711,8.147,1.453,2.853,115.378
26.513,47.824,45.046,7.18,6.478,2.316,3.496,120.777
29.665,45.168,74.191,6.053,4.08,1.148,2.421,138.155
29.096,59.614,62.682,6.481,5.848,2.657,0.87,148.41
34.865,71.529,74.252,6.17,8.846,1.079,0.414,165.461
34.99,65.485,62.302,7.486,4.898,1.195,0.679,149.617
26.78,58.58,55.406,5.563,9.243,2.678,2.328,138.602
19.618,89.604,62.711,7.809,10.557,2.417,2.95,163.163
30.373,87.279,57.955,6.741,6.545,1.161,2.653,162.361
34.603,50.654,48.203,6.835,4.656,1.349,3.266,129.772
23.412,63.68,39.627,6.55,5.118,2.421,0.368,124.527
25.841,74.198,51.009,6.663,6.863,0.607,0.786,141.386
25.221,78.007,37.925,7.003,10.507,1.107,3.473,138.195
18.874,61.487,49.334,6.965,9.074,1.676,3.559,128.436
29.428,78.583,32.307,5.642,10.943,2.389,3.22,142.172
24.007,50.587,53.27,6.747,11.955,1.755,3.405,132.239
31.387,59.932,37.264,6.064,5.621,1.575,4.343,124.584
32.146,77.239,39.68,6.911,9.559,2.709,4.26,150.524
31.961,73.156,49.951,6.644,7.732,0.679,2.971,145.284
25.083,82.674,33.126,5.539,7.948,2.272,1.573,136.507
23.466,47.109,73.119,7.204,6.605,0.705,0.261,129.845
30.73,52.848,47.347,6.371,6.74,2.159,2.916,129.725
31.624,47.182,42.614,6.654,9.41,1.703,2.055,127.587
26.351,53.645,26.46,7.018,8.966,1.035,0.832,109.094
33.182,45.193,67.163,6.959,6.548,1.704,1.126,142.416
20.446,67.689,56.292,7.247,4.949,2.511,4.227,137.529
32.944,68.774,45.82,5.62,8.626,1.533,0.485,141.132
19.634,74.605,37.277,5.331,9.915,0.416,3.586,128.374
20.61,62.321,62.257,7.008,8.469,0.536,4.079,141.651
27.075,45.144,72.274,5.708,4.029,1.918,3.16,144.099
19.148,75.325,44.04,5.344,6.259,2.027,0.464,132.641
18.898,47.443,31.744,5.394,10.229,1.364,3.837,108.166
18.009,83.978,30.46,5.938,9.94,0.983,3.009,130.567
25.417,46.019,25.318,7.975,4.083,2.118,1.391,98.027
31.169,68.871,62.198,5.472,7.762,1.13,2.908,151.891
18.592,85.271,74.07,5.896,7.499,0.578,0.787,155.808
29.088,70.762,74.641,7.762,9.218,1.383,3.243,162.709
31.993,72.379,64.21,7.89,5.0,1.694,4.083,156.707
20.856,75.672,33.109,5.687,8.971,2.718,2.443,128.134
20.497,50.508,73.885,7.641,11.575,1.821,4.294,144.125
32.634,75.372,41.391,5.417,6.974,0.9,2.084,140.224
31.993,84.616,41.681,7.285,6.699,2.397,3.888,151.017
27.162,88.84,59.367,5.039,4.226,1.1,3.527,155.537
31.926,64.937,27.452,6.22,4.459,2.702,0.58,124.132
19.577,60.503,66.288,5.742,11.453,1.181,4.124,141.633
24.706,78.899,74.865,7.112,11.804,2.583,4.115,175.183
30.543,69.429,63.753,5.048,4.045,2.509,1.711,145.521
22.377,56.579,64.084,6.395,11.205,2.474,3.612,144.013
30.79,52.747,44.516,7.09,5.392,0.495,1.166,120.334
26.571,52.66,28.296,5.14,8.491,2.44,0.331,108.282
30.755,65.663,64.633,7.692,9.425,2.131,1.094,159.16
25.9,52.656,54.858,6.084,6.872,1.202,2.281,129.215
24.254,45.887,70.467,5.496,8.232,1.576,0.448,132.968
21.726,47.344,30.798,5.676,9.02,1.936,0.888,105.763
21.542,86.845,40.256,6.017,5.551,2.664,4.287,140.547
30.775,48.283,43.033,5.595,11.954,2.272,2.324,128.152
20.021,48.293,59.164,6.532,5.631,1.428,3.739,123.97
19.462,65.303,64.387,6.899,4.083,1.949,1.088,136.314
20.997,56.03,73.051,6.3,11.554,0.846,0.581,142.592
20.981,88.321,39.77,6.281,7.433,1.417,3.556,142.875
31.993,85.994,49.682,7.345,7.189,2.299,1.7,156.134
24.775,63.213,26.448,5.903,6.205,1.856,2.177,111.204
34.837,65.193,37.649,6.868,4.207,2.28,4.466,135.524
20.333,61.88,43.7,7.679,6.117,1.624,1.561,122.877
29.11,46.704,54.69,5.665,7.146,1.312,2.235,130.204
25.628,58.178,48.542,6.86,8.163,2.182,2.93,131.159
24.68,50.52,43.224,7.844,7.661,0.625,0.583,117.079
32.876,49.607,56.204,6.589,11.032,2.749,3.281,143.67
34.585,70.239,66.431,7.931,11.291,2.676,2.142,163.938
32.839,49.444,37.084,5.93,6.537,2.513,0.953,122.056
21.269,49.632,42.144,6.693,11.676,2.522,2.051,119.953
21.754,66.623,60.246,5.933,10.919,1.627,2.181,141.722
29.153,64.903,63.897,5.011,11.421,1.595,2.955,150.786
22.914,51.194,66.27,7.992,9.651,2.368,4.23,142.675
30.49,45.2,35.467,5.72,5.586,1.08,3.49,111.889
27.629,53.684,51.963,7.919,5.562,2.44,1.845,133.104
27.365,55.615,70.001,6.959,11.269,0.882,4.369,151.202
32.085,81.011,44.598,7.712,8.056,2.51,3.601,153.372
30.079,86.195,46.494,7.902,11.124,1.699,0.32,151.964
18.452,63.267,74.241,6.703,9.764,2.424,0.701,149.204
18.841,63.226,30.653,7.999,5.7,1.584,1.137,114.424
28.226,77.062,60.28,7.302,7.078,1.86,0.559,153.172
26.265,73.211,67.509,6.571,11.743,2.624,2.287,160.213
22.423,53.286,32.54,6.965,4.157,1.404,1.665,105.07
25.117,49.846,60.723,5.583,9.717,0.929,4.384,136.246
30.884,64.693,48.487,5.033,11.83,0.618,2.233,144.382
32.052,70.417,67.645,5.77,4.833,1.816,1.112,152.424
27.541,51.242,70.373,6.305,6.176,1.867,4.374,145.595
24.551,58.197,68.624,5.684,8.376,1.89,2.41,141.694
22.602,58.767,28.219,6.542,10.75,0.489,0.514,109.879
26.873,56.758,62.843,6.974,8.052,0.466,0.548,139.533
23.351,65.734,71.076,6.967,4.477,2.549,3.104,147.132
27.59,74.388,56.067,7.681,5.017,2.069,2.328,147.226
29.503,67.923,55.044,7.899,7.008,0.672,2.884,146.019
19.123,54.066,27.25,7.672,6.58,0.579,3.854,104.76
18.018,49.632,67.802,6.861,5.757,0.788,3.13,131.892
21.609,81.984,27.32,5.617,10.721,2.337,3.906,128.843
33.207,66.569,40.675,7.83,4.215,2.135,3.394,136.964
28.987,47.796,71.293,5.525,10.635,1.933,3.1,146.082
20.923,56.615,72.487,5.454,11.373,1.938,0.779,147.316
33.134,81.182,74.595,5.953,9.041,2.461,2.276,170.206
25.989,78.828,48.82,6.721,9.003,1.2,2.062,144.986
26.094,84.412,33.871,7.044,5.192,1.173,2.525,135.237
33.904,72.094,49.397,5.04,8.547,1.421,1.882,150.646
19.011,64.031,30.116,7.334,7.001,2.775,2.868,115.983
21.658,64.199,68.627,5.525,5.832,1.732,1.888,144.868
27.958,53.73,53.027,5.889,8.667,1.713,2.598,134.722
21.323,74.286,45.225,5.966,4.01,2.343,1.898,135.06
29.552,71.328,28.977,5.997,6.211,0.827,4.078,125.585
21.64,51.969,45.262,7.281,9.248,1.373,1.806,117.156
19.686,84.855,68.31,5.123,7.64,1.939,3.343,156.119
21.519,61.581,60.17,5.59,5.165,2.771,2.839,139.275
25.186,47.238,29.123,5.067,4.011,0.771,1.858,101.363
20.994,59.755,32.995,7.335,6.164,1.485,3.673,114.546
20.29,84.144,44.615,7.951,8.392,2.573,4.189,143.922
32.625,86.263,30.069,6.979,8.276,2.141,3.47,144.704
23.447,67.068,71.702,6.77,5.049,1.873,4.279,153.871
24.133,88.035,57.615,7.724,8.91,1.017,2.076,158.996
18.94,84.386,29.741,5.765,11.991,0.849,4.129,129.119
24.075,82.135,64.403,5.199,8.679,1.298,3.968,155.387
22.502,83.687,43.42,6.53,8.221,1.012,3.478,139.845
28.378,62.184,37.244,5.781,8.981,2.34,3.791,126.485
21.492,79.041,53.499,6.353,11.037,2.13,3.34,146.364
33.102,70.98,25.669,6.369,11.568,2.404,2.403,136.179
33.804,77.386,48.27,5.956,4.328,0.811,2.575,140.979
19.697,53.0,67.19,6.459,5.64,1.144,1.996,134.503
19.826,77.913,71.403,6.14,4.926,2.245,3.056,158.394
19.961,88.092,42.128,5.339,10.179,0.793,1.597,143.03
28.533,58.62,57.122,7.6,4.365,0.749,3.381,138.36
20.073,89.377,36.341,7.104,11.221,1.319,2.372,143.82
32.49,62.027,53.011,5.124,4.164,0.847,1.719,141.427
30.823,53.988,37.701,5.347,8.82,0.589,0.833,119.825
31.937,50.053,53.568,5.29,6.205,1.151,1.299,131.55
26.943,80.323,33.586,5.185,7.765,2.501,2.953,139.383
34.944,69.967,72.062,5.177,7.535,0.536,1.79,160.528
18.751,58.821,69.346,5.471,9.991,1.759,0.343,140.029
24.822,72.38,41.846,7.544,7.973,1.751,1.618,132.851
23.507,59.945,63.833,7.485,7.37,1.674,1.775,142.756
34.127,65.176,29.775,7.349,9.842,1.613,1.207,124.267
27.807,83.82,62.018,6.844,11.406,0.441,1.431,165.47
31.705,75.067,39.123,7.17,10.351,0.514,3.231,143.607
20.896,79.308,31.782,7.215,9.894,1.627,3.409,132.484
34.637,71.257,58.91,7.668,7.902,2.724,4.323,154.554
26.477,89.613,48.49,7.197,11.202,1.379,0.708,151.859
26.392,55.863,51.507,7.209,7.891,1.534,1.54,135.058
34.505,56.803,51.026,7.412,11.442,2.757,0.531,142.384
24.472,49.165,27.972,6.669,10.423,2.27,2.837,106.19
24.758,69.931,27.569,5.639,5.202,2.248,0.27,117.353
27.941,72.601,55.058,5.254,4.376,1.611,1.083,144.25
20.177,77.668,56.193,6.257,9.927,2.555,2.724,150.072
23.458,60.095,27.359,5.275,9.487,1.795,1.743,112.823
21.285,45.552,43.922,5.508,8.817,1.976,2.541,117.82
19.756,73.45,55.643,5.072,11.81,2.29,2.953,144.081
32.724,89.941,57.834,5.901,8.363,1.376,3.807,169.21
28.019,58.255,66.414,7.91,6.783,2.688,1.889,148.156
24.097,53.277,46.037,6.137,8.52,2.771,1.399,124.247
24.947,57.68,52.413,5.723,4.227,1.809,2.517,128.351
25.336,64.144,53.928,6.21,8.634,0.933,0.5,135.339
28.764,56.291,40.602,5.904,11.219,2.26,0.38,127.075
33.755,60.613,27.691,7.022,4.035,1.173,2.145,118.076
33.857,73.719,25.211,6.903,10.762,1.785,1.138,133.656
24.655,60.526,66.806,5.082,10.415,0.608,0.231,142.192
23.597,62.823,35.012,6.534,4.849,2.338,3.121,124.134
25.668,46.801,56.513,5.109,10.775,2.702,3.709,132.246
27.655,86.307,53.852,7.032,10.108,0.626,0.836,157.8
25.851,63.31,44.982,7.807,7.928,2.156,2.625,135.702
29.199,59.766,66.675,7.722,5.962,2.466,4.431,152.196
27.425,48.892,59.92,5.617,6.305,0.663,1.356,130.498
23.452,73.538,26.137,7.228,8.898,0.992,3.343,121.082
23.877,83.872,63.835,7.379,5.97,1.34,0.897,154.64
24.436,46.852,50.35,7.593,6.603,2.408,4.208,126.117
19.609,51.537,42.351,5.779,11.447,1.584,0.202,115.701
20.823,51.588,61.344,6.353,9.835,0.729,1.467,134.182
30.293,72.102,59.303,5.665,9.889,1.015,4.399,154.6
24.615,86.455,40.529,5.073,11.647,1.522,3.084,145.16
21.647,64.7,74.152,6.977,4.046,0.494,1.111,141.674
27.565,60.471,57.435,6.294,5.956,1.914,3.603,142.476
30.844,79.463,55.289,5.744,9.264,0.461,4.062,157.895
22.376,78.416,28.494,7.541,7.506,2.274,2.295,129.256
32.055,56.104,38.966,6.487,4.902,2.161,0.871,126.167
33.768,52.237,47.349,7.984,10.25,2.477,1.312,137.734
28.156,61.101,56.531,7.38,4.377,0.779,4.255,141.552
29.372,79.902,50.638,7.608,8.351,1.846,0.893,152.049
18.894,76.278,63.152,7.32,8.5,2.274,1.541,151.752
34.074,74.963,38.128,5.318,9.088,1.638,0.826,135.61
24.672,82.324,60.108,5.195,6.525,0.714,0.654,147.877
33.706,57.471,65.83,7.745,4.189,0.637,2.445,144.07
27.843,60.286,63.252,5.415,11.112,1.854,1.906,150.978
18.079,46.905,63.542,6.174,11.434,1.594,0.399,126.646
18.655,84.094,69.425,6.83,7.856,2.631,0.824,157.397
29.567,71.209,29.209,5.636,4.165,2.401,0.362,122.731
27.565,58.416,59.86,5.676,8.647,2.137,0.306,136.994
18.451,48.124,73.434,6.399,6.527,2.758,0.967,136.63
30.639,77.553,53.683,6.083,5.46,2.067,3.398,146.677
32.486,78.693,35.866,7.03,5.352,0.622,0.264,132.266
26.439,74.978,74.938,5.225,5.434,0.586,1.509,159.234
25.918,54.17,33.734,6.466,6.647,2.358,2.629,113.183
18.093,86.095,41.778,5.523,6.245,1.266,3.398,139.664
31.373,78.892,33.603,6.82,10.691,2.618,3.115,143.265
23.622,74.599,48.226,5.349,7.963,0.684,4.45,143.118
32.939,74.292,45.944,5.593,7.421,0.877,1.385,144.086
24.342,85.696,49.562,7.412,5.167,2.256,0.201,145.99
27.606,86.774,71.399,5.706,11.007,2.434,0.364,169.353
22.596,71.804,48.916,7.211,4.439,2.481,0.619,136.531
20.73,63.75,50.731,5.819,5.916,0.638,4.394,131.512
